[Tue May 16 06:25:01.758797 2017] [mpm_prefork:notice] [pid 1267] AH00163: Apache/2.4.18 (Ubuntu) configured -- resuming normal operations
[Tue May 16 14:05:37.526569 2017] [:error] [pid 23033] [client 129.2.180.177:57358] PHP Notice:  Undefined index: user_id in /var/www/html/display_vid.php on line 45, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:09.953345 2017] [:error] [pid 23600] [client 129.2.180.177:57883] PHP Notice:  Undefined index: timezone in /var/www/html/rate-video.php on line 17, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:09.953378 2017] [:error] [pid 23600] [client 129.2.180.177:57883] PHP Notice:  Undefined index: user_id in /var/www/html/rateDB.php on line 14, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:09.953382 2017] [:error] [pid 23600] [client 129.2.180.177:57883] PHP Notice:  Undefined index: lid in /var/www/html/rateDB.php on line 16, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:09.953389 2017] [:error] [pid 23600] [client 129.2.180.177:57883] The uid is missing, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:10.013976 2017] [:error] [pid 23600] [client 129.2.180.177:57883] PHP Notice:  Undefined index: user_id in /var/www/html/display_vid.php on line 45, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:41.139954 2017] [:error] [pid 23715] [client 129.2.180.177:58319] PHP Notice:  Undefined index: timezone in /var/www/html/rate-video.php on line 17, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:41.139984 2017] [:error] [pid 23715] [client 129.2.180.177:58319] PHP Notice:  Undefined index: user_id in /var/www/html/rateDB.php on line 14, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:41.139988 2017] [:error] [pid 23715] [client 129.2.180.177:58319] PHP Notice:  Undefined index: lid in /var/www/html/rateDB.php on line 16, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:06:41.140002 2017] [:error] [pid 23715] [client 129.2.180.177:58319] The uid is missing, referer: http://www.cyclingsafety.umd.edu/rate-video.html
