index_seg,ugr
1003,3.0000000000000004
1004,2.818181818181818
10403,3.0
10448,3.0000000000000004
11288,4.0
11289,4.0
1204,4.0
12047,1.0
128,4.0
12898,4.0
1531,3.0
1532,3.0
1533,3.0
251,3.0
252,1.0
258,3.0000000000000004
2635,2.0
2636,2.0
2650,2.0
2652,1.0
2671,1.0
2672,1.0
2685,2.285714285714286
2733,2.0
3149,2.0
3150,3.0000000000000004
331,3.0
332,3.0
3389,3.0000000000000004
3717,2.0
4012,2.0
4014,2.0
4418,4.0
4419,4.0
4481,3.0000000000000004
4569,3.0
4789,2.9999999999999996
4812,4.0
4872,4.0
5207,3.0
5208,3.0000000000000004
5285,4.0
5286,4.0
5287,2.9999999999999996
5288,4.0
5367,2.3333333333333335
5452,4.0
5673,3.0
5759,2.9999999999999996
581,3.0000000000000004
582,3.0
583,4.0
6000,3.0
613,3.0000000000000004
617,3.0000000000000004
6215,3.0000000000000004
6216,3.0000000000000004
6218,4.0
6333,4.0
648,2.0
652,4.0
675,1.0
676,1.0
677,1.0
6939,3.0000000000000004
6942,4.0
6943,4.0
6945,4.0
726,4.0
7316,4.0
7317,4.0
7318,4.0
7594,2.0
7646,2.0
7647,3.0
7728,3.0000000000000004
7729,3.0
7774,4.0
7879,4.0
7880,4.0
808,2.9999999999999996
809,2.0
8260,3.0
8310,3.0
8458,4.0
893,1.0
8955,3.0000000000000004
9297,1.0
9298,1.0
9306,1.0
9603,1.0
97,4.0
970,2.5
971,2.5
972,2.5
975,2.0
9751,3.0
976,3.0
9768,4.0
977,2.9999999999999996
9855,3.0
9856,4.0
9858,4.0
9859,4.0
9861,5.0
9874,4.0
9875,4.0
