split/DCIM/103_VIRB/VIRB0009_004.MP4,202,3.0
split/DCIM/103_VIRB/VIRB0009_005.MP4,203,3.0 4.0
split/DCIM/103_VIRB/VIRB0009_007.MP4,204,3.0 4.0 3.0 4.0 1.0 4.0 5.0 2.0
split/DCIM/103_VIRB/VIRB0009_008.MP4,205,2.0
split/DCIM/103_VIRB/VIRB0010_001.MP4,404,4.0
split/DCIM/103_VIRB/VIRB0010_002.MP4,405,3.0 4.0 5.0 4.0 4.0
split/DCIM/103_VIRB/VIRB0010_003.MP4,406,1.0 4.0
split/DCIM/104_VIRB/VIRB0002_000.MP4,517,1.0 3.0 3.0 2.0 1.0
split/DCIM/104_VIRB/VIRB0002_001.MP4,518,2.0 2.0 3.0 3.0 3.0 3.0
split/DCIM/104_VIRB/VIRB0002_002.MP4,519,4.0 4.0 4.0 4.0 3.0 3.0
split/DCIM/104_VIRB/VIRB0002_003.MP4,520,4.0 4.0 4.0 4.0
split/DCIM/104_VIRB/VIRB0002_005.MP4,522,4.0
split/DCIM/104_VIRB/VIRB0002_006.MP4,523,5.0 5.0 4.0 4.0
split/DCIM/104_VIRB/VIRB0002_007.MP4,524,4.0 4.0 4.0 4.0 5.0 5.0 4.0 4.0
split/DCIM/104_VIRB/VIRB0002_008.MP4,525,5.0 5.0 4.0 5.0
split/DCIM/104_VIRB/VIRB0002_009.MP4,526,4.0 4.0 3.0 3.0
split/DCIM/104_VIRB/VIRB0002_010.MP4,527,3.0 4.0
split/DCIM/104_VIRB/VIRB0002_011.MP4,528,3.0 3.0 2.0 2.0 5.0 5.0 4.0 4.0
split/DCIM/104_VIRB/VIRB0002_012.MP4,529,4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
split/DCIM/104_VIRB/VIRB0002_013.MP4,530,2.0 2.0 2.0 2.0
split/DCIM/104_VIRB/VIRB0002_014.MP4,531,1.0 1.0 1.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0
split/DCIM/104_VIRB/VIRB0002_015.MP4,532,3.0 3.0 3.0 3.0 3.0 3.0
split/DCIM/104_VIRB/VIRB0002_016.MP4,533,4.0
split/DCIM/104_VIRB/VIRB0002_017.MP4,534,3.0 4.0
split/DCIM/104_VIRB/VIRB0002_018.MP4,535,3.0 3.0
split/DCIM/104_VIRB/VIRB0002_019.MP4,536,5.0 4.0 2.0 4.0 4.0 2.0 3.0 4.0
split/DCIM/104_VIRB/VIRB0002_020.MP4,537,4.0 4.0 2.0 4.0 3.0
split/DCIM/104_VIRB/VIRB0002_021.MP4,538,4.0 4.0 3.0 3.0 3.0 3.0 3.0 3.0
split/DCIM/104_VIRB/VIRB0002_023.MP4,540,3.0 2.0 2.0
split/DCIM/104_VIRB/VIRB0002_024.MP4,541,2.0
split/DCIM/104_VIRB/VIRB0002_026.MP4,542,1.0
split/DCIM/104_VIRB/VIRB0002_027.MP4,543,2.0 2.0 3.0
split/DCIM/104_VIRB/VIRB0002_028.MP4,544,3.0 3.0 4.0 4.0 3.0 3.0
