index_seg,ugr
1003,3.0000000000000004
1004,2.733333333333334
101,2.611111111111111
10393,4.0
10394,3.6363636363636362
10403,3.0
10448,3.5454545454545454
10449,5.0
10452,2.9999999999999996
10454,2.0
10505,3.0000000000000004
10595,2.5
11288,4.0
11289,4.0
11484,2.75
11485,3.0
11886,3.0000000000000004
11960,2.8000000000000003
12047,1.0
12064,4.500000000000001
12065,3.0
12261,4.0
12263,4.0
12264,4.0
12265,4.0
12567,2.0
12568,2.0
1261,3.0
127,4.0
1278,4.0
128,3.272727272727273
12849,3.0000000000000004
12898,3.4285714285714293
134,3.0
13447,4.0
13449,4.6
13477,4.0
136,4.0
137,4.0
140,4.0
1531,3.6666666666666665
1532,3.666666666666667
1533,3.0
180,3.0
181,3.428571428571429
182,3.2222222222222223
183,3.0000000000000004
2177,3.0000000000000004
2254,3.0
2260,4.0
251,3.0
252,1.0
253,2.0
258,3.0000000000000004
2635,2.0
2641,3.0
2650,2.0
2653,2.0
2656,2.9999999999999996
2657,3.0
2658,3.0
2671,2.9999999999999996
2672,3.0
2674,2.5
2675,2.5
2676,4.0
2685,2.5454545454545454
269,4.0
2733,2.5
3149,2.6923076923076916
3150,3.0000000000000004
329,2.0
330,2.5
331,2.9999999999999996
332,3.0
3380,4.0
3383,2.5
3385,3.0
3387,3.0
3388,3.375
3389,3.0000000000000004
3593,3.0
362,3.0000000000000004
3717,2.0
3719,3.0
3720,2.0
3721,2.0
3945,4.0
3946,3.0
3947,4.0
4012,2.0
4014,2.333333333333333
4222,3.0
4271,2.5
4273,3.0000000000000004
4385,4.0
4418,4.0
4419,4.0
4429,2.9999999999999996
4430,3.0
4431,3.0000000000000004
4432,4.0
4480,4.0
4481,4.0
4569,4.5
4570,4.500000000000001
4737,2.0
4789,3.611111111111111
4790,4.0
4811,3.0000000000000004
4812,4.0
4871,3.3333333333333335
4872,3.458333333333334
4874,2.0
4998,2.5
513,3.0000000000000004
5203,3.0000000000000004
5207,3.5
5208,3.2
5209,4.5
5210,4.266666666666667
5284,4.0
5285,4.0
5286,4.0
5287,4.0
5288,3.4999999999999996
5340,3.0
5367,3.0
5452,4.0
5457,4.0
5458,3.0
5501,2.6363636363636362
5616,3.5
5617,3.5
5665,3.0
5669,4.0
5670,4.0
5671,4.0
5673,4.0
574,3.0
5748,3.0000000000000004
5749,3.333333333333333
5750,3.75
5751,3.0
5755,4.0
5756,3.0
5757,3.5
5758,4.0
5759,2.9999999999999996
578,2.4545454545454546
579,3.7272727272727266
580,4.0
581,4.0
582,4.0
5821,2.0
583,4.8181818181818175
6000,1.923076923076923
613,3.5
616,2.9999999999999996
617,3.0000000000000004
6214,1.0
6215,3.0000000000000004
6216,2.181818181818182
6217,3.6
6218,4.0
6330,3.0000000000000004
6331,3.0000000000000004
6332,2.9999999999999996
6340,3.0000000000000004
648,3.124999999999999
649,2.0
651,2.5
652,4.0
658,2.5
659,2.0
662,3.0
663,3.0
664,3.0000000000000004
672,2.0
673,2.0
675,2.0
676,2.0
677,3.066666666666667
681,2.0
6939,3.153846153846154
6940,3.0
6941,3.0000000000000004
6942,3.5714285714285716
6943,4.0
6944,4.0
6945,3.6
7010,3.647058823529411
7011,4.0
7016,5.0
726,2.750000000000001
7313,3.0000000000000004
7316,2.0
7317,4.500000000000001
7318,4.5
7322,4.0
737,3.0
7593,3.0
7594,2.909090909090909
7646,2.0
7647,2.6874999999999996
7683,3.0
7727,4.0
776,4.0
7769,3.0
777,4.0
7773,4.0
778,4.0
779,4.0
7878,2.6470588235294117
7879,3.0
7880,3.0
7881,2.285714285714286
7882,3.0
7883,3.0
808,2.9999999999999996
809,2.428571428571429
8258,4.0
8259,5.0
8260,3.2
8288,4.0
8289,4.0
8290,4.0
8310,3.5882352941176467
8311,5.0
8345,4.0
8346,3.5
8347,3.0
8348,4.0
8349,4.0
8458,3.6363636363636362
893,1.909090909090909
894,3.0
8952,2.0
8953,3.0
9297,1.0
9298,1.0
9299,2.0
9300,1.7272727272727273
9301,1.0
9306,1.3636363636363635
9307,2.0
9474,3.0000000000000004
9475,3.0
9476,3.0
9603,1.0
9605,2.9999999999999996
9606,3.0000000000000004
968,3.0
969,1.909090909090909
97,3.3333333333333335
970,2.058823529411765
971,2.5
972,2.5
973,3.4999999999999996
974,3.5
975,2.5
9750,4.0
9751,2.5
976,2.7727272727272725
9768,3.0
977,2.5
98,3.0
9822,1.0
9855,3.5
9856,4.0
9857,3.0
9858,3.25
9859,2.9000000000000004
9860,3.3571428571428577
9861,4.0
9873,3.0000000000000004
9874,3.0
9875,3.0
9881,2.0
9882,1.3333333333333335
