index_seg,ratio,URL
2661,0.5,BfYyJU6I5tA
2662,0.3,mU2TvrRhj0M
2663,1.0,mU2TvrRhj0M
2664,0.3,mU2TvrRhj0M
2671,0.4,4OXDTQApi1M
2672,0.5,q4Wik5C-iZc
2673,0.5,q4Wik5C-iZc
2674,0.1,fkG8u8rskxU
2675,0.5,-EOYGEGPJIw
2676,0.2,5NU_Bp7Cw8c
2685,0.2,szbuuiDUcYs
2733,0.5,szbuuiDUcYs
3380,0.2,V4TpTeiMt-Y
3381,0.9,V4TpTeiMt-Y
3383,0.2,F5aeE_YxFFU
3384,0.8,F5aeE_YxFFU
3385,0.1,JIRDWF7Hqls
3386,0.5,hyXbkCbZM_k
3387,0.3,WWvsZoaEdro
3388,0.3,f0N87cX1OJ4
3389,0.2,f0N87cX1OJ4
3549,0.6,eHx3rDYjBog
3550,1.0,eHx3rDYjBog
3593,0.9,F5H9N3dw2UE
5665,0.5,F5H9N3dw2UE
3605,0.8,O6DzTTJs4PM
3717,1.0,TaHYfwlq5CQ
3718,1.0,vKBTUWgCOXA
3719,0.5,bXQ8lR8OqDM
3720,0.2,oX34d_r5vbI
5752,1.0,oX34d_r5vbI
5753,0.1,oX34d_r5vbI
3721,0.2,qUGNv1fZNTU
3722,0.2,98tY_t_4ePA
5231,0.3,98tY_t_4ePA
3945,0.4,minDxee9GBY
3946,0.3,1T-GozkqZ_c
3947,0.3,qVrQxbtIERY
4011,1.0,ouGXiM-7qZc
4012,0.3,h_aEnl9y-IY
4013,0.3,uWpzdLffrWw
4014,0.5,uWpzdLffrWw
4222,0.3,lYRVK8pHsEY
4270,0.5,lt2OXNngb4U
4276,0.2,LONUZYR0Dws
5751,0.4,LONUZYR0Dws
4385,0.2,9VOdh49kznI
4386,0.5,-pq-74hTm0I
4418,0.4,AvX0zx7Vy3M
4419,0.5,r8ekqzCtLK8
4429,0.3,Cj7aZ95LX6M
7684,0.4,Cj7aZ95LX6M
4430,0.3,nxS_kqfxWJk
4431,0.4,w-ZsdYkD8lk
4432,0.1,_YY_1ruO0LQ
4472,1.0,d6TeEvLuksM
4480,0.4,I7jpRhASzcE
4481,0.3,uC9I1OQ3OKI
4569,0.2,qDRq9V0o6MQ
4570,0.2,G-yYTyVd8tA
4789,0.4,pDuBiMnc-I4
4790,0.4,pDuBiMnc-I4
4791,0.5,Uops_HxsAcc
4811,0.3,0OHIpDKV4dc
5821,0.5,0OHIpDKV4dc
4812,0.2,ceamT47v73k
4870,1.0,2kuQ3YYu7LY
4871,1.0,FaRrvJzACVI
4872,0.2,FaRrvJzACVI
4873,0.3,tfRI3-dB8Mg
5456,0.2,tfRI3-dB8Mg
4874,0.2,XlVxiALD55I
5207,0.5,Kjs1TjY17Ms
5208,0.2,Kjs1TjY17Ms
5209,0.2,waxbSdw6m4o
5210,0.4,5Om_iNthfkg
5284,0.1,M53f1kEzbEA
5285,0.3,2DKk4ih3fAQ
