,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
1288,1387,0,1,1,8,0,0,1,0,2,4,17
1289,1388,0,1,2,5,1,0,1,0,2,1,13
1290,1389,2,2,2,2,1,1,2,1,6,1,20
1291,1390,0,2,5,0,0,2,1,0,2,5,17
1292,1391,1,1,2,1,0,0,0,0,1,5,11
1293,1392,0,2,4,2,0,0,1,0,7,6,22
1294,1393,0,2,3,7,0,1,2,0,8,3,26
1295,1394,0,5,0,1,1,1,1,0,2,8,19
1296,1395,0,1,0,1,0,1,0,0,0,1,4
1297,1396,0,2,0,0,0,0,0,0,1,0,3
1298,1397,1,2,0,0,0,0,0,0,0,1,4
1299,1398,0,2,0,0,0,0,0,1,0,0,3
1300,1399,0,0,0,0,0,0,2,0,2,3,7
1301,1400,0,1,1,0,0,0,0,0,0,2,4
1302,1401,0,1,1,5,5,4,1,0,1,2,20
1303,1402,0,0,0,0,1,0,1,0,1,4,7
1304,1403,0,0,0,0,0,0,1,0,0,1,2
1305,1404,0,2,2,1,1,0,1,0,1,0,8
1306,1405,0,1,0,0,0,1,3,0,0,2,7
1307,1406,1,1,0,3,1,0,0,0,1,3,10
1308,1407,0,4,2,5,6,2,3,0,1,3,26
1309,1408,0,0,0,1,1,1,0,0,0,0,3
1310,1409,0,1,0,0,0,0,0,0,0,0,1
1311,1410,0,1,0,0,0,0,0,0,0,2,3
1312,1411,0,0,0,0,0,0,0,0,0,1,1
1313,1412,1,2,1,2,0,1,0,0,0,2,9
1314,1413,0,3,1,0,2,1,2,2,1,1,13
1315,1415,0,0,2,1,0,2,0,0,2,1,8
1316,1416,0,0,0,0,0,1,0,0,0,2,3
1317,1417,0,0,0,1,0,2,0,0,0,2,5
1318,1418,0,0,0,0,0,2,2,0,0,1,5
1319,1419,0,1,0,0,0,1,0,0,0,0,2
1320,1422,0,0,0,0,1,0,0,0,0,0,1
1321,1423,0,0,1,0,0,0,0,0,1,2,4
1322,1424,0,0,1,0,0,0,1,0,0,2,4
1323,1425,0,0,1,0,0,0,0,0,0,2,3
1324,1426,0,0,0,1,0,1,0,0,0,1,3
1325,1427,0,0,0,0,0,0,1,0,0,0,1
1326,1428,0,0,0,0,0,0,0,0,0,1,1
1327,1429,0,0,0,0,0,0,0,0,0,1,1
1328,1430,0,0,0,0,0,0,0,0,0,1,1
1329,1431,0,0,0,0,0,0,0,0,1,1,2
1330,1432,0,0,0,0,0,0,1,0,0,0,1
1331,1433,0,0,0,0,0,0,1,0,0,0,1
1332,1434,0,5,0,0,0,0,0,3,8,6,22
1333,1435,0,4,0,2,0,0,0,2,8,2,18
1334,1436,0,0,0,4,1,0,0,7,2,4,18
1335,1437,1,3,0,3,0,0,0,1,8,6,22
1336,1438,0,3,0,0,5,0,0,6,6,1,21
1337,1439,0,3,0,0,0,0,1,5,1,1,11
1338,1440,1,2,3,1,2,2,3,1,9,8,32
1339,1441,1,2,1,0,1,2,1,1,5,3,17
1340,1442,2,6,2,2,11,1,4,0,7,7,42
1341,1443,1,2,3,3,6,0,2,0,3,2,22
1342,1444,1,2,5,6,2,1,2,0,4,3,26
1343,1445,1,1,5,8,9,0,2,0,9,9,44
1344,1446,1,1,7,3,1,0,2,0,4,5,24
1345,1447,0,1,0,0,0,0,0,1,0,1,3
1346,1448,0,1,3,0,1,0,0,1,3,5,14
1347,1449,2,2,0,0,0,0,0,0,24,1,29
1348,1450,0,0,0,0,0,0,0,0,0,1,1
1349,1451,0,0,3,0,3,0,0,0,1,5,12
1350,1452,0,5,1,1,3,0,0,10,20,12,52
1351,1453,0,1,1,0,1,0,1,0,2,4,10
1352,1454,0,0,0,0,0,0,0,0,1,1,2
1353,1455,0,0,1,0,1,1,0,0,0,0,3
1354,1456,0,4,0,0,0,0,1,0,3,11,19
1355,1457,0,1,9,0,10,1,0,0,5,1,27
1356,1458,0,0,11,1,11,1,1,0,9,1,35
1357,1459,0,0,0,0,0,0,0,0,0,1,1
1358,1460,0,0,3,0,0,0,0,0,0,1,4
1359,1461,0,3,8,3,5,2,3,0,6,9,39
1360,1462,0,1,0,0,0,0,1,1,0,1,4
1361,1463,0,3,2,1,2,2,1,0,9,2,22
1362,1464,0,3,1,1,4,1,1,0,5,4,20
1363,1465,0,0,0,0,0,0,1,0,2,1,4
1364,1466,0,1,0,0,0,0,1,0,2,2,6
1365,1467,0,1,1,0,0,0,3,0,1,1,7
1366,1468,0,2,0,1,2,0,0,0,0,3,8
1367,1469,0,7,1,6,2,0,2,2,2,4,26
1368,1470,1,5,3,1,4,1,5,0,9,3,32
1369,1471,0,2,4,13,2,0,2,0,3,5,31
1370,1472,0,1,0,2,5,4,1,1,1,1,16
1371,1473,0,2,0,0,1,0,0,0,16,3,22
1372,1474,0,1,2,0,0,0,0,1,6,5,15
1373,1475,0,17,0,0,0,0,0,0,31,12,60
1374,1476,0,14,0,0,0,0,0,0,32,13,59
1375,1477,0,0,4,0,5,2,1,1,6,4,23
1376,1478,1,4,3,2,6,1,3,0,6,7,33
1377,1479,2,0,2,1,0,0,2,0,0,3,10
1378,1480,0,0,0,3,3,0,0,2,5,3,16
1379,1481,0,0,0,2,4,0,0,0,5,3,14
1380,1482,0,1,0,0,1,2,1,2,5,3,15
1381,1483,0,2,3,4,13,2,1,2,8,4,39
1382,1484,0,1,0,0,1,1,0,7,10,7,27
1383,1485,0,1,1,5,12,1,0,2,8,3,33
1384,1486,0,1,1,1,1,0,1,0,14,17,36
1385,1487,0,1,0,3,0,0,2,0,8,8,22
