,parent_id,cid,pluralName,shortName,name,level,order
541,4d4b7105d754a06377d81259,50328a4b91d4c4b30a586d6b,Rock Climbing Spots,Rock Climbing,Rock Climbing Spot,2,43
542,4d4b7105d754a06377d81259,4bf58dd8d48988d165941735,Scenic Lookouts,Scenic Lookout,Scenic Lookout,2,44
543,4d4b7105d754a06377d81259,4bf58dd8d48988d166941735,Sculpture Gardens,Sculpture,Sculpture Garden,2,45
544,4d4b7105d754a06377d81259,4bf58dd8d48988d1e9941735,Ski Areas,Ski Area,Ski Area,2,46
545,4bf58dd8d48988d1e9941735,4bf58dd8d48988d1ea941735,Apres Ski Bars,Apres Ski Bar,Apres Ski Bar,3,0
546,4bf58dd8d48988d1e9941735,4eb1c0ed3b7b52c0e1adc2ea,Ski Chairlifts,Chairlift,Ski Chairlift,3,1
547,4bf58dd8d48988d1e9941735,4bf58dd8d48988d1ec941735,Ski Chalets,Ski Chalet,Ski Chalet,3,2
548,4bf58dd8d48988d1e9941735,4bf58dd8d48988d1eb941735,Ski Lodges,Lodge,Ski Lodge,3,3
549,4bf58dd8d48988d1e9941735,4eb1c0f63b7b52c0e1adc2eb,Ski Trails,Trail,Ski Trail,3,4
550,4d4b7105d754a06377d81259,4eb1baf03b7b2c5b1d4306ca,Stables,Stables,Stables,2,47
551,4d4b7105d754a06377d81259,530e33ccbcbc57f1066bbfe4,States & Municipalities,States & Municipalities,States & Municipalities,2,48
552,530e33ccbcbc57f1066bbfe4,50aa9e094b90af0d42d5de0d,Cities,City,City,3,0
553,530e33ccbcbc57f1066bbfe4,5345731ebcbc57f1066c39b2,Counties,County,County,3,1
554,530e33ccbcbc57f1066bbfe4,530e33ccbcbc57f1066bbff7,Countries,Country,Country,3,2
555,530e33ccbcbc57f1066bbfe4,4f2a25ac4b909258e854f55f,Neighborhoods,Neighborhood,Neighborhood,3,3
556,530e33ccbcbc57f1066bbfe4,530e33ccbcbc57f1066bbff8,States,State,State,3,4
557,530e33ccbcbc57f1066bbfe4,530e33ccbcbc57f1066bbff3,Towns,Town,Town,3,5
558,530e33ccbcbc57f1066bbfe4,530e33ccbcbc57f1066bbff9,Villages,Village,Village,3,6
559,4d4b7105d754a06377d81259,52e81612bcbc57f1066b7a10,Summer Camps,Summer Camp,Summer Camp,2,49
560,4d4b7105d754a06377d81259,4bf58dd8d48988d159941735,Trails,Trail,Trail,2,50
561,4d4b7105d754a06377d81259,52e81612bcbc57f1066b7a24,Trees,Tree,Tree,2,51
562,4d4b7105d754a06377d81259,4bf58dd8d48988d1de941735,Vineyards,Vineyard,Vineyard,2,52
563,4d4b7105d754a06377d81259,5032848691d4c4b30a586d61,Volcanoes,Volcano,Volcano,2,53
564,4d4b7105d754a06377d81259,56aa371be4b08b9a8d573560,Waterfalls,Waterfall,Waterfall,2,54
565,4d4b7105d754a06377d81259,56aa371be4b08b9a8d5734c3,Waterfronts,Waterfront,Waterfront,2,55
566,4d4b7105d754a06377d81259,4fbc1be21983fc883593e321,Wells,Well,Well,2,56
567,root,4d4b7105d754a06375d81259,Professional & Other Places,Professional,Professional & Other Places,1,6
568,4d4b7105d754a06375d81259,4e52d2d203646f7c19daa8ae,Animal Shelters,Animal Shelter,Animal Shelter,2,0
569,4d4b7105d754a06375d81259,4bf58dd8d48988d173941735,Auditoriums,Auditorium,Auditorium,2,1
570,4d4b7105d754a06375d81259,56aa371be4b08b9a8d5734cf,Ballrooms,Ballroom,Ballroom,2,2
571,4d4b7105d754a06375d81259,4bf58dd8d48988d130941735,Buildings,Building,Building,2,3
572,4d4b7105d754a06375d81259,56aa371be4b08b9a8d573517,Business Centers,Business Center,Business Center,2,4
573,4d4b7105d754a06375d81259,52e81612bcbc57f1066b7a35,Club Houses,Club,Club House,2,5
574,4d4b7105d754a06375d81259,52e81612bcbc57f1066b7a34,Community Centers,Community Center,Community Center,2,6
575,4d4b7105d754a06375d81259,4bf58dd8d48988d1ff931735,Convention Centers,Convention Center,Convention Center,2,7
576,4bf58dd8d48988d1ff931735,4bf58dd8d48988d100941735,Meeting Rooms,Meeting Room,Meeting Room,3,0
577,4d4b7105d754a06375d81259,52e81612bcbc57f1066b7a32,Cultural Centers,Cultural Center,Cultural Center,2,8
578,4d4b7105d754a06375d81259,4e0e22f5a56208c4ea9a85a0,Distilleries,Distillery,Distillery,2,9
579,4d4b7105d754a06375d81259,52e81612bcbc57f1066b7a37,Distribution Centers,Distributor,Distribution Center,2,10
580,4d4b7105d754a06375d81259,4bf58dd8d48988d171941735,Event Spaces,Event Space,Event Space,2,11
581,4bf58dd8d48988d171941735,56aa371be4b08b9a8d57356a,Outdoor Event Spaces,Outdoor Event Space,Outdoor Event Space,3,0
582,4d4b7105d754a06375d81259,4eb1bea83b7b6f98df247e06,Factories,Factory,Factory,2,12
583,4d4b7105d754a06375d81259,4eb1daf44b900d56c88a4600,Fairs,Fair,Fair,2,13
584,4d4b7105d754a06375d81259,4f4534884b9074f6e4fb0174,Funeral Homes,Funeral Home,Funeral Home,2,14
585,4d4b7105d754a06375d81259,4bf58dd8d48988d126941735,Government Buildings,Government,Government Building,2,15
586,4bf58dd8d48988d126941735,4bf58dd8d48988d12a941735,Capitol Buildings,Capitol Building,Capitol Building,3,0
587,4bf58dd8d48988d126941735,4bf58dd8d48988d129941735,City Halls,City Hall,City Hall,3,1
588,4bf58dd8d48988d126941735,4bf58dd8d48988d12b941735,Courthouses,Courthouse,Courthouse,3,2
589,4bf58dd8d48988d126941735,4bf58dd8d48988d12c951735,Embassies / Consulates,Embassy,Embassy / Consulate,3,3
590,4bf58dd8d48988d126941735,4bf58dd8d48988d12c941735,Fire Stations,Fire Station,Fire Station,3,4
591,4bf58dd8d48988d126941735,4bf58dd8d48988d12d941735,Monuments / Landmarks,Landmark,Monument / Landmark,3,5
592,4bf58dd8d48988d126941735,4bf58dd8d48988d12e941735,Police Stations,Police Station,Police Station,3,6
593,4bf58dd8d48988d126941735,52e81612bcbc57f1066b7a38,Town Halls,Town Hall,Town Hall,3,7
594,4d4b7105d754a06375d81259,56aa371be4b08b9a8d5734d7,Industrial Estates,Industrial Estate,Industrial Estate,2,16
595,4d4b7105d754a06375d81259,5744ccdfe4b0c0459246b4d6,Laboratories,Laboratory,Laboratory,2,17
596,4d4b7105d754a06375d81259,4bf58dd8d48988d12f941735,Libraries,Library,Library,2,18
597,4d4b7105d754a06375d81259,4bf58dd8d48988d104941735,Medical Centers,Medical,Medical Center,2,19
598,4bf58dd8d48988d104941735,52e81612bcbc57f1066b7a3b,Acupuncturists,Acupuncturist,Acupuncturist,3,0
599,4bf58dd8d48988d104941735,52e81612bcbc57f1066b7a3c,Alternative Healers,Alternative Healer,Alternative Healer,3,1
600,4bf58dd8d48988d104941735,52e81612bcbc57f1066b7a3a,Chiropractors,Chiropractors,Chiropractor,3,2
601,4bf58dd8d48988d104941735,4bf58dd8d48988d178941735,Dentist's Offices,Dentist's Office,Dentist's Office,3,3
602,4bf58dd8d48988d104941735,4bf58dd8d48988d177941735,Doctor's Offices,Doctor's Office,Doctor's Office,3,4
603,4bf58dd8d48988d104941735,4bf58dd8d48988d194941735,Emergency Rooms,Emergency Room,Emergency Room,3,5
604,4bf58dd8d48988d104941735,522e32fae4b09b556e370f19,Eye Doctors,Eye Doctor,Eye Doctor,3,6
605,4bf58dd8d48988d104941735,4bf58dd8d48988d196941735,Hospitals,Hospital,Hospital,3,7
606,4bf58dd8d48988d104941735,56aa371be4b08b9a8d5734ff,Maternity Clinics,Maternity Clinic,Maternity Clinic,3,8
607,4bf58dd8d48988d104941735,4f4531b14b9074f6e4fb0103,Medical Labs,Medical Lab,Medical Lab,3,9
608,4bf58dd8d48988d104941735,52e81612bcbc57f1066b7a39,Mental Health Offices,Mental Health,Mental Health Office,3,10
609,4bf58dd8d48988d104941735,5744ccdfe4b0c0459246b4af,Physical Therapists,Physical Therapist,Physical Therapist,3,11
610,4bf58dd8d48988d104941735,56aa371be4b08b9a8d57351d,Rehab Centers,Rehab Center,Rehab Center,3,12
611,4bf58dd8d48988d104941735,56aa371be4b08b9a8d573526,Urgent Care Centers,Urgent Care Center,Urgent Care Center,3,13
612,4bf58dd8d48988d104941735,4d954af4a243a5684765b473,Veterinarians,Veterinarians,Veterinarian,3,14
613,4d4b7105d754a06375d81259,4e52adeebd41615f56317744,Military Bases,Military Base,Military Base,2,20
614,4d4b7105d754a06375d81259,50328a8e91d4c4b30a586d6c,Non-Profits,Non-Profit,Non-Profit,2,21
615,4d4b7105d754a06375d81259,5744ccdfe4b0c0459246b4d9,Observatories,Observatory,Observatory,2,22
616,4d4b7105d754a06375d81259,4bf58dd8d48988d124941735,Offices,Office,Office,2,23
617,4bf58dd8d48988d124941735,52e81612bcbc57f1066b7a3d,Advertising Agencies,Advertising Agency,Advertising Agency,3,0
618,4bf58dd8d48988d124941735,5032764e91d4c4b30a586d5a,Campaign Offices,Campaign,Campaign Office,3,1
619,4bf58dd8d48988d124941735,4bf58dd8d48988d127941735,Conference Rooms,Conference room,Conference Room,3,2
620,4bf58dd8d48988d124941735,5665ef1d498ec706735f0e59,Corporate Amenities,Corporate Amenity,Corporate Amenity,3,3
621,4bf58dd8d48988d124941735,54f4ba06498e2cf5561da814,Corporate Cafeterias,Corporate Cafeteria,Corporate Cafeteria,3,4
622,4bf58dd8d48988d124941735,5665c7b9498e7d8a4f2c0f06,Corporate Coffee Shops,Corporate Coffee Shop,Corporate Coffee Shop,3,5
623,4bf58dd8d48988d124941735,4bf58dd8d48988d174941735,Coworking Spaces,Coworking Space,Coworking Space,3,6
624,4bf58dd8d48988d124941735,4bf58dd8d48988d125941735,Tech Startups,Tech Startup,Tech Startup,3,7
625,4d4b7105d754a06375d81259,4c38df4de52ce0d596b336e1,Parking,Parking,Parking,2,24
626,4d4b7105d754a06375d81259,4bf58dd8d48988d172941735,Post Offices,Post Office,Post Office,2,25
627,4d4b7105d754a06375d81259,5310b8e5bcbc57f1066bcbf1,Prisons,Prison,Prison,2,26
628,4d4b7105d754a06375d81259,5032856091d4c4b30a586d63,Radio Stations,Radio Station,Radio Station,2,27
629,4d4b7105d754a06375d81259,52f2ab2ebcbc57f1066b8b57,Recruiting Agencies,Recruiting Agency,Recruiting Agency,2,28
630,4d4b7105d754a06375d81259,4bf58dd8d48988d13b941735,Schools,School,School,2,29
631,4bf58dd8d48988d13b941735,56aa371ce4b08b9a8d573570,Adult Education Centers,Adult Education Center,Adult Education Center,3,0
632,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a43,Circus Schools,Circus School,Circus School,3,1
633,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a42,Driving Schools,Driving School,Driving School,3,2
634,4bf58dd8d48988d13b941735,4f4533804b9074f6e4fb0105,Elementary Schools,Elementary School,Elementary School,3,3
635,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a49,Flight Schools,Flight School,Flight School,3,4
636,4bf58dd8d48988d13b941735,4bf58dd8d48988d13d941735,High Schools,High School,High School,3,5
637,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a48,Language Schools,Language School,Language School,3,6
638,4bf58dd8d48988d13b941735,4f4533814b9074f6e4fb0106,Middle Schools,Middle School,Middle School,3,7
639,4bf58dd8d48988d13b941735,4f04b10d2fb6e1c99f3db0be,Music Schools,Music School,Music School,3,8
640,4bf58dd8d48988d13b941735,4f4533814b9074f6e4fb0107,Nursery Schools,Nursery School,Nursery School,3,9
641,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a45,Preschools,Preschool,Preschool,3,10
642,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a46,Private Schools,Private School,Private School,3,11
643,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a47,Religious Schools,Religious School,Religious School,3,12
644,4bf58dd8d48988d13b941735,52e81612bcbc57f1066b7a44,Swim Schools,Swim School,Swim School,3,13
645,4d4b7105d754a06375d81259,52e81612bcbc57f1066b7a33,Social Clubs,Social Club,Social Club,2,30
646,4d4b7105d754a06375d81259,4bf58dd8d48988d131941735,Spiritual Centers,Spiritual,Spiritual Center,2,31
647,4bf58dd8d48988d131941735,52e81612bcbc57f1066b7a3e,Buddhist Temples,Buddhist Temple,Buddhist Temple,3,0
648,4bf58dd8d48988d131941735,4bf58dd8d48988d132941735,Churches,Church,Church,3,1
649,4bf58dd8d48988d131941735,56aa371be4b08b9a8d5734fc,Confucian Temples,Confucian Temple,Confucian Temple,3,2
650,4bf58dd8d48988d131941735,52e81612bcbc57f1066b7a3f,Hindu Temples,Hindu Temple,Hindu Temple,3,3
651,4bf58dd8d48988d131941735,5744ccdfe4b0c0459246b4ac,Kingdom Halls,Kingdom Hall,Kingdom Hall,3,4
652,4bf58dd8d48988d131941735,52e81612bcbc57f1066b7a40,Monasteries,Monastery,Monastery,3,5
653,4bf58dd8d48988d131941735,4bf58dd8d48988d138941735,Mosques,Mosque,Mosque,3,6
654,4bf58dd8d48988d131941735,52e81612bcbc57f1066b7a41,Prayer Rooms,Prayer Room,Prayer Room,3,7
655,4bf58dd8d48988d131941735,4eb1d80a4b900d56c88a45ff,Shrines,Shrine,Shrine,3,8
656,4bf58dd8d48988d131941735,4bf58dd8d48988d139941735,Synagogues,Synagogue,Synagogue,3,9
657,4bf58dd8d48988d131941735,4bf58dd8d48988d13a941735,Temples,Temple,Temple,3,10
658,4bf58dd8d48988d131941735,56aa371be4b08b9a8d5734f6,Terreiros,Terreiro,Terreiro,3,11
659,4d4b7105d754a06375d81259,52e81612bcbc57f1066b7a31,TV Stations,TV Station,TV Station,2,32
660,4d4b7105d754a06375d81259,4cae28ecbf23941eb1190695,Voting Booths,Voting Booth,Voting Booth,2,33
661,4d4b7105d754a06375d81259,52e81612bcbc57f1066b7a36,Warehouses,Warehouse,Warehouse,2,34
662,4d4b7105d754a06375d81259,56aa371be4b08b9a8d5734c5,Wedding Halls,Wedding Hall,Wedding Hall,2,35
663,4d4b7105d754a06375d81259,4bf58dd8d48988d14b941735,Wineries,Winery,Winery,2,36
664,root,4e67e38e036454776db1fb3a,Residences,Residence,Residence,1,7
665,4e67e38e036454776db1fb3a,5032891291d4c4b30a586d68,Assisted Living,Assisted Living,Assisted Living,2,0
666,4e67e38e036454776db1fb3a,4bf58dd8d48988d103941735,Homes (private),Home,Home (private),2,1
667,4e67e38e036454776db1fb3a,4f2a210c4b9023bd5841ed28,Housing Developments,Housing Development,Housing Development,2,2
668,4e67e38e036454776db1fb3a,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),Residential,Residential Building (Apartment / Condo),2,3
669,4e67e38e036454776db1fb3a,52f2ab2ebcbc57f1066b8b55,Trailer Parks,Trailer Park,Trailer Park,2,4
670,root,4d4b7105d754a06378d81259,Shops & Services,Shops,Shop & Service,1,8
671,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b56,ATMs,ATM,ATM,2,0
672,4d4b7105d754a06378d81259,5267e446e4b0ec79466e48c4,Adult Boutiques,Adult Boutique,Adult Boutique,2,1
673,4d4b7105d754a06378d81259,4bf58dd8d48988d116951735,Antique Shops,Antiques,Antique Shop,2,2
674,4d4b7105d754a06378d81259,4bf58dd8d48988d127951735,Arts & Crafts Stores,Arts & Crafts,Arts & Crafts Store,2,3
675,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b43,Astrologers,Astrologer,Astrologer,2,4
676,4d4b7105d754a06378d81259,4eb1c1623b7b52c0e1adc2ec,Auto Dealerships,Auto Dealer,Auto Dealership,2,5
677,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b44,Auto Garages,Auto Garage,Auto Garage,2,6
678,4d4b7105d754a06378d81259,56aa371be4b08b9a8d5734d3,Auto Workshops,Auto Workshop,Auto Workshop,2,7
679,4d4b7105d754a06378d81259,4bf58dd8d48988d124951735,Automotive Shops,Automotive,Automotive Shop,2,8
680,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b32,Baby Stores,Baby Store,Baby Store,2,9
681,4d4b7105d754a06378d81259,4bf58dd8d48988d10a951735,Banks,Bank,Bank,2,10
682,4d4b7105d754a06378d81259,52e81612bcbc57f1066b7a27,Bath Houses,Bath House,Bath House,2,11
683,4d4b7105d754a06378d81259,56aa371be4b08b9a8d5734cb,Batik Shops,Batik Shop,Batik Shop,2,12
684,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b40,Betting Shops,Betting Shop,Betting Shop,2,13
685,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b42,Big Box Stores,Big Box Store,Big Box Store,2,14
686,4d4b7105d754a06378d81259,4bf58dd8d48988d115951735,Bike Shops,Bike Shop,Bike Shop,2,15
687,4d4b7105d754a06378d81259,4bf58dd8d48988d1f1941735,Board Shops,Board Shop,Board Shop,2,16
688,4d4b7105d754a06378d81259,4bf58dd8d48988d114951735,Bookstores,Bookstore,Bookstore,2,17
689,4d4b7105d754a06378d81259,4bf58dd8d48988d11a951735,Bridal Shops,Bridal,Bridal Shop,2,18
690,4d4b7105d754a06378d81259,5453de49498eade8af355881,Business Services,Business Services,Business Service,2,19
691,4d4b7105d754a06378d81259,4eb1bdf03b7b55596b4a7491,Camera Stores,Camera Store,Camera Store,2,20
692,4d4b7105d754a06378d81259,4bf58dd8d48988d117951735,Candy Stores,Candy Store,Candy Store,2,21
693,4d4b7105d754a06378d81259,4f04ae1f2fb6e1c99f3db0ba,Car Washes,Car Washes,Car Wash,2,22
694,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b2a,Carpet Stores,Carpet Store,Carpet Store,2,23
695,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b2d,Check Cashing Services,Check Cashing Service,Check Cashing Service,2,24
696,4d4b7105d754a06378d81259,5744ccdfe4b0c0459246b4c7,Child Care Services,Child Care,Child Care Service,2,25
697,5744ccdfe4b0c0459246b4c7,4f4532974b9074f6e4fb0104,Daycares,Daycare,Daycare,3,0
698,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b31,Chocolate Shops,Chocolate Shop,Chocolate Shop,2,26
699,4d4b7105d754a06378d81259,4bf58dd8d48988d103951735,Clothing Stores,Apparel,Clothing Store,2,27
700,4bf58dd8d48988d103951735,4bf58dd8d48988d102951735,Accessories Stores,Accessories,Accessories Store,3,0
701,4bf58dd8d48988d103951735,4bf58dd8d48988d104951735,Boutiques,Boutique,Boutique,3,1
702,4bf58dd8d48988d103951735,4bf58dd8d48988d105951735,Kids Stores,Kids Store,Kids Store,3,2
703,4bf58dd8d48988d103951735,4bf58dd8d48988d109951735,Lingerie Stores,Lingerie,Lingerie Store,3,3
704,4bf58dd8d48988d103951735,4bf58dd8d48988d106951735,Men's Stores,Men's Store,Men's Store,3,4
705,4bf58dd8d48988d103951735,4bf58dd8d48988d107951735,Shoe Stores,Shoes,Shoe Store,3,5
706,4bf58dd8d48988d103951735,4bf58dd8d48988d108951735,Women's Stores,Women's Store,Women's Store,3,6
707,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b18,Comic Shops,Comic Shop,Comic Shop,2,28
708,4d4b7105d754a06378d81259,5454144b498ec1f095bff2f2,Construction & Landscaping,Construction,Construction & Landscaping,2,29
709,4d4b7105d754a06378d81259,4d954b0ea243a5684a65b473,Convenience Stores,Convenience Store,Convenience Store,2,30
710,4d4b7105d754a06378d81259,4bf58dd8d48988d10c951735,Cosmetics Shops,Cosmetics,Cosmetics Shop,2,31
711,4d4b7105d754a06378d81259,52f2ab2ebcbc57f1066b8b17,Costume Shops,Costume Shop,Costume Shop,2,32
712,4d4b7105d754a06378d81259,5032850891d4c4b30a586d62,Credit Unions,Credit Union,Credit Union,2,33
