,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
5823,40509,both,0,,,
5824,40510,both,0,,,
5825,40511,both,0,,,
5826,40512,both,0,,,
5827,40515,,0,,right,
5828,40516,,0,,both,
5829,40517,,0,,right,
5830,40518,both,0,,,
5831,40519,both,0,,,
5832,40585,both,0,,,
5833,40593,both,0,,,
5834,40594,both,0,,,
5835,40595,both,0,,,
5836,40596,both,0,,,
5837,40611,both,0,,,
5838,40614,both,0,,,
5839,40621,both,0,,,
5840,40634,,0,,both,
5841,40642,,0,,both,
5842,40656,both,0,,,
5843,40682,both,0,,,
5844,40683,both,0,,,
5845,40686,both,0,,,
5846,40713,both,0,,,
5847,40741,both,0,,,
5848,40742,both,0,,,
5849,40750,,0,,both,
5850,40751,both,0,,,
5851,40752,,0,,both,
5852,40753,both,0,,,
5853,40758,,0,,both,
5854,40773,both,0,,both,
5855,40776,,0,both,,
5856,40792,,0,,both,
5857,40796,,0,,both,
5858,40797,,0,,both,
5859,40815,,0,,both,
5860,40820,,0,,both,
5861,40824,both,0,,,
5862,40825,both,0,,,
5863,40830,both,0,,,
5864,40845,,0,,both,
5865,40846,,0,,both,
5866,40847,,0,,both,
5867,40849,both,0,,both,
5868,40850,both,0,,both,
5869,40851,both,0,,both,
5870,40852,both,0,,both,
5871,40877,both,0,,,
5872,40879,,0,,both,
5873,40882,,0,,both,
5874,40923,,0,,both,
5875,40927,both,0,,,
5876,40928,both,0,,,
5877,40932,,0,,,yes
5878,40953,both,0,,,
5879,40954,both,0,,,
5880,40958,both,0,,,
5881,40959,both,0,,,
5882,40981,both,0,,,
5883,40982,both,0,,,
5884,40993,both,0,,,
5885,41011,both,0,,,
5886,41012,both,0,,,
5887,41013,both,0,,both,
