index_seg,ftr_name_d_btw_cntr_SgAsEd,ud_bridge_SgAsEd,ud_btw_cntr_SgAsEd
199,497649.70533,,133567.792415
200,532730.033631,,19041.3025488
201,263947.654197,,175876.826206
202,83051.3529967,,158507.189221
203,227871.320578,,66610.1691466
204,59489.5412143,,590959.992093
205,299418.046208,,119317.374742
206,268436.560152,,66104.2954729
207,667974.010646,,450246.404028
208,784226.537697,,1055531.40726
209,1475016.54817,,1310664.98113
210,565893.171504,,540767.551547
211,244073.860109,,26210.5981914
212,886301.376839,,1284314.06305
213,568374.731247,,600895.447602
214,396180.112551,,409393.870362
215,383353.658045,,447842.09008
216,100876.819647,,24335.7848634
217,69868.4054814,,14253.4617933
218,1004689.89689,,859407.963847
219,48042.7138329,,91098.834457
220,998799.572917,,895970.933427
221,25396.2483589,,197695.572465
222,53939.0378071,,38289.3405143
223,28548.7894482,,172272.402057
224,224671.856738,,250572.692388
225,872148.552175,,473170.896869
226,989052.654421,,669301.745798
227,769748.595843,,252697.187316
228,4041985.62983,,1347391.96416
229,44466.1571225,,221776.177638
230,4089177.2176,,1600292.79893
231,4174226.77502,,2083164.16768
232,53906.5009577,,446459.33645
233,1522158.49076,,426268.430192
234,384515.882902,,497069.454508
235,145733.68659,,271159.584754
236,264924.575153,,103979.106886
237,266111.324597,,13014.1277702
238,216377.252893,,20460.5538765
239,39984.9608857,,28393.7903909
240,39810.2158419,,15460.6263754
241,35963.5189553,,20498.9386374
242,14850.8108841,,31483.3188484
243,117757.270425,,30322.8708115
244,62648.7504828,,61683.234929
245,47803.9395987,,36363.2342401
246,20930.8333418,,303203.43055
247,441609.620167,,163698.439146
248,218340.730058,,183992.870739
249,187912.361968,,207817.077391
250,52765.3676258,,75669.7779655
251,129394.11279,,294435.257092
252,44463.015052,,59442.8823151
253,172614.521096,,233354.368144
254,182596.114717,,72786.0400482
255,130081.11881,,68390.6758125
256,127749.582667,,34335.7011131
257,188636.427274,,94624.9412383
258,23716.3351807,,3125.51232886
259,282141.090124,,84154.5178421
260,15208.4505895,,69629.1461697
261,200706.88196,,150572.992089
262,290642.974715,,79564.4365047
263,229767.504083,,135853.134797
264,35478.5778633,,80220.9238237
265,101345.484041,,46666.9533992
266,76922.243846,,42376.7590274
267,33239.4086629,,59553.0257496
268,314987.478358,,407115.885939
269,65945.9150997,,36183.0521351
270,66052.5067132,,8842.42150838
271,266410.546776,,111503.516358
272,41013.7245199,,52224.781314
273,74247.1331828,,31715.6283209
274,58337.5244848,,27212.2030884
275,51609.2947757,,36231.2504181
276,54964.9152517,,66604.1955777
277,127261.973048,,21938.6545515
278,57668.6488575,,47556.5270742
279,159279.484068,,315456.371941
280,200340.501641,,232355.175072
281,47599.8528454,,25454.7289397
282,88666.8704183,,101619.351736
283,242321.751998,,91139.7929735
284,165852.430027,,205633.631752
285,129577.442322,,33342.3935448
286,53106.6624594,,27402.5079196
287,3920.34529931,,37508.5049014
288,263105.299343,,252282.995948
289,259190.954043,,332040.169324
290,435291.35946,,325503.804162
291,77600.8679722,,23811.3049617
292,55908.9196486,,41765.5312462
293,5887.34290478,,194823.378043
294,75363.2072015,,56419.3806193
295,107761.764153,,136396.664141
296,72989.4231657,,132320.943318
297,567128.816572,,278928.047049
298,94354.5536233,,94218.1404635
299,346951.452191,,183100.427706
300,66850.9188908,,93463.1584341
301,63372.5097577,,26031.0364356
302,61965.7147299,,41840.2571932
303,28363.7013127,,3726.89843106
304,119696.305945,,78476.3831899
305,91338.6046327,,119889.284538
306,133205.430425,,139440.598721
307,377927.496057,,148002.899448
308,399732.499045,,205400.706233
309,343418.194281,,187179.423588
310,231112.491141,,172144.019637
311,198335.971079,,138494.685614
312,123697.861506,,111242.274788
313,222587.571698,,142233.664301
314,41860.8257924,,36679.7347609
315,180732.745905,,65773.8933526
316,109438.986908,,70778.2895764
317,77102.2379284,,69668.3940419
318,207943.136174,,108105.256381
319,106751.876245,,93187.9209619
320,126139.843943,,83385.9083447
321,75435.5695547,,31494.3766056
322,236154.150464,,281950.784701
323,46676.4938609,,37525.883367
324,41629.665175,,8767.86302202
325,652365.679928,,356773.735121
326,333668.437871,,290507.600873
327,236057.015439,,168880.930815
328,334009.837744,,273504.577032
329,34263.9268795,,50955.130086
330,38228.0084803,,41098.4785229
331,683016.270683,,727962.32443
332,106487.506273,,70230.31032
333,692650.642493,,349759.726176
334,32867.8164327,,64962.5499125
335,766264.332333,,389104.547153
336,555882.669125,,502997.675324
337,60415.3827853,,63131.7877481
338,150678.085368,,79381.4741792
339,78329.6058696,,29961.8629134
340,86386.4895365,,16565.0903087
341,51777.4811195,,45374.084923
342,51045.031557,,24563.6579955
343,482193.012867,,134108.510071
344,41876.7765739,,8693.23426862
345,75390.7914177,,57757.1303778
346,86931.7772528,,23600.1472121
347,667506.030545,,233107.516734
348,35924.3247706,,18215.8505721
349,149341.481696,,21357.5017834
350,9624.49011119,,30776.8545349
351,116608.881785,,86280.1584079
352,25716.5004408,,24826.8152449
353,58247.8309382,,21049.1036981
354,142331.382225,,34165.8302405
355,14767.7955034,,16563.8937654
356,160549.075853,,215164.527095
357,53869.0217514,,15456.0304024
358,169359.773763,,105251.917339
359,205800.603059,,60286.8714896
360,92787.9638764,,107745.230825
361,60951.7361027,,30377.6620985
362,38903.8215975,,35601.2821904
363,1048076.72145,,672548.334573
364,32741.3474816,,79824.43193
365,27337.1760344,,58349.4065405
366,60072.523516,,73283.0798762
367,486233.034337,,193453.844778
368,202081.214123,,177010.397607
369,211671.62588,,107710.293535
370,1080824.06893,,631898.587434
371,239382.046183,,104703.742538
372,80163.3502917,,63798.3117091
373,1028835.78659,,941747.12035
374,50255.4805289,,48355.1420999
375,30396.4008616,,8350.15623316
376,84083.6532606,,20476.1629047
377,196687.010604,,30295.3648755
378,276025.579047,,59556.6354557
379,322664.956845,,477995.144248
380,289142.995613,,209271.512487
381,285420.384276,,265902.202535
382,3716.611337,,6671.55122049
383,75473.5617482,,28525.9713078
384,63178.1001127,,69385.4356675
385,3412.47186687,,6442.59419546
386,600768.361576,,298817.697901
387,597361.889709,,352965.325587
388,158564.528198,,827332.122684
389,2394052.33881,,177778.445905
390,231611.853542,,43336.1527322
391,61345.8072844,,36062.472357
392,28955.5853969,,39648.8353056
393,36123.102091,,29438.8201321
394,81768.4679612,,55806.1128499
395,94467.0936196,,42887.7689086
396,99467.8193776,,104467.326799
397,138603.09397,,183876.415924
398,63837.0071325,,37927.2583149
399,5579.74732385,,23324.9813124
400,55325.819027,,65910.8892986
401,6298.73090044,,67012.4785621
402,143367.884825,,86029.7720402
403,35276.9449073,,113572.18288
404,184937.560633,,102220.710483
405,263798.831465,,80804.3984936
406,180127.496745,,115840.028704
407,197283.678716,,731672.835013
408,2679129.58509,,278789.130358
409,61188.8797309,,25061.054074
410,32384.2218874,,39520.6955984
411,55338.4019694,,46522.2088979
412,87716.6238568,,36636.9872402
413,70009.2991744,,116889.581479
414,53053.7205593,,88468.3517961
415,6556.8583216,,25214.4375245
416,17701.3246824,,44552.6033235
417,13709.5292891,,17113.6250148
418,53928.1301237,,22372.6825528
419,50523.9311203,,48960.3924129
420,109260.447734,,67162.9914996
421,58730.5166141,,33079.5928258
422,3410.1990034,,17421.4021108
423,97594.0222601,,84173.0665142
424,53898.9228777,,22640.8428068
425,338219.492493,,90873.4787378
426,31294.0038733,,4351.6414448
427,255561.073205,,82609.4155694
428,67631.6594128,,29924.1067612
429,122226.378629,,27827.3359257
430,54600.7192158,,75229.360618
431,50827.6776724,,43087.9186436
432,53118.3590824,,44570.4985639
433,145367.574769,,39327.6896882
434,92243.2156867,,126679.09063
435,101597.165822,,124082.884882
436,193834.381509,,295365.036173
437,29713.6498346,,40874.0082757
438,42508.8770036,,72781.6976335
439,61928.7731486,,136780.28043
440,109256.609295,,23953.6190614
441,72216.5268382,,56889.0612166
442,54732.7719927,,57126.7154511
443,114927.875844,,32650.9723483
444,135416.690695,,38913.8097944
445,20494.8148512,,20885.2736304
446,22723.9568901,,22558.6055492
447,43224.7717412,,35046.5341923
448,96685.2127969,,90599.7747138
449,31623.1320738,,65948.3561634
450,77622.7077335,,20111.0975314
451,517826.402923,,358202.875693
452,68476.3860964,,73425.912612
453,190143.462688,,120090.821398
454,1149651.52118,,350710.801567
455,66340.4116602,,68923.4392518
456,1148380.87086,,256364.966582
457,70219.2211186,,100335.679006
458,974874.583048,,1374429.26609
459,921695.237995,,718203.874526
460,3036878.57887,,1439742.12993
461,594554.127016,,444329.469852
462,3849386.19705,,1736518.29428
463,802116.30729,,198733.979245
464,2508224.56454,,959856.477154
465,1763690.44882,,745029.923101
466,402632.592692,,211673.872712
467,24932.5813094,,13813.1411704
468,35424.6575324,,44384.5739911
469,600106.820746,,293293.526585
470,1080250.78608,,1110931.48178
471,907091.431228,,181788.554795
472,67682.8356953,,9188.16012112
473,148991.359375,,93150.8666614
474,146839.883592,,110017.809732
475,558075.539862,,195652.427064
476,142638.869266,,92322.6965441
477,99451.4164233,,63454.750893
478,46018.863164,,81280.0700899
479,70410.3203673,,37176.6816544
480,35680.5843741,,23561.0722214
481,35816.7097362,,6442.56911431
482,18108.3625297,,19397.7966474
483,98277.7128214,,7134.48161027
484,173481.55598,,101493.088154
485,411320.62896,,163584.566792
486,132883.323452,,77335.6216824
487,164030.596712,,364965.946268
488,133159.328027,,319003.368778
489,40562.0392524,,40680.4029716
490,339061.486484,,150200.722119
491,533579.343256,,201728.464192
492,524510.672216,,215247.006007
493,1297351.02988,,619971.061577
494,1091185.05444,,303762.931713
495,35992.5139876,,12342.2447699
496,1127183.56843,,328449.442641
497,439135.382164,,350462.72826
498,488524.158228,,224624.327819
499,530276.286678,,577430.463543
500,603644.987451,,892673.146618
501,297388.32371,,98027.4308954
502,211981.808626,,64419.3868897
503,85418.5150846,,58476.3165833
504,507322.75905,,1031915.69275
505,492331.153911,,374193.990369
506,339113.349945,,124598.174067
507,477683.851304,,274227.631047
508,450884.007535,,99536.8914001
509,146754.015203,,65112.1023182
510,59015.4748511,,58677.3938023
511,172061.560014,,114404.383675
512,194511.856772,,65659.6011854
513,266628.662952,,110954.461091
514,196385.826543,,127772.278401
515,201060.095309,,128663.424809
516,199180.125537,,71244.3647798
517,297629.647432,,54964.8344432
518,222131.306276,,47053.557607
519,17714.3472066,,29929.3017512
520,306728.189143,,186122.788173
521,151191.055844,,52021.7924675
522,90904543.7519,,137605167.359
523,79939187.1726,,124838852.299
524,80256536.3826,,125011344.612
525,6227.8424129,,40281.9763443
526,178455.734424,,318183.88883
527,127388.767856,,83057.3330625
528,172233.892011,,320933.409277
529,211083.705655,,41977.7795505
530,59503.1533828,,33338.0321701
531,71851.2068408,,56143.7614712
532,30862.7984601,,60126.3193159
533,64863.6836722,,18230.2817237
534,240400.199178,,82090.5678267
535,63769.6354064,,18161.9497331
536,138489.699493,,37031.1642923
537,113005.431322,,18304.4970633
538,175542.515506,,68946.2193531
539,203229.256883,,85269.9921406
540,40982.4083806,,59242.8062932
541,425742.737161,,117109.99242
542,2662161.63872,,1301993.11657
543,2636206.00882,,1725713.46919
544,236959.054355,,292774.825509
545,71748.0200809,,998240.011989
546,5502081.87742,,2647037.31958
547,40186.0126536,,44522.8475181
548,5118797.37019,,3349185.97236
549,209749.143809,,114405.426179
550,5171448.14119,,3599035.62449
551,5405607.2224,,3817150.71159
552,80881.2221597,,20178.9670056
553,60111.8586936,,1050238.02828
554,174580.062757,,84546.144047
555,43688.1886887,,22923.7932044
556,131865.878774,,27263.4510115
557,88183.6900858,,15963.2717879
558,105519.143824,,42808.0970888
559,41011.9327092,,25022.4900253
560,130885.874068,,46198.4945299
561,148209.327806,,119242.353587
562,141231.377297,,1086753.58089
563,6660783.19525,,2497670.66632
564,133738.60038,,14846.9511615
565,96468.6550184,,1334596.88022
566,485024.666435,,73568.9209936
567,636001.722664,,168255.917293
568,629430.490888,,102136.620027
569,444832.653781,,38447.6661741
570,444820.653781,,128753.762813
571,131650.508668,,84984.3656496
572,126727.341362,,38102.6983047
573,65429.7911084,,18060.6669064
574,119512.122635,,22743.7099503
575,81221.686639,,26150.3482625
576,217637.68675,,134003.907023
577,4977812.84815,,3046603.99158
578,120972.955258,,66452.1414028
579,148608.720904,,46321.6141048
580,107959.003143,,119540.493772
581,127392.580469,,134469.418792
582,118102.465775,,220030.838641
583,190137.507568,,102088.228396
584,135606.768789,,73022.8896329
585,470461.685105,,1641402.11069
586,1810862.54713,,2127623.84509
587,159763.988206,,67138.6344503
588,60308.3317517,,39711.7845489
589,166847.312553,,46996.7952009
590,681915.819415,,23053.6018567
591,169839.868176,,65704.4020739
592,93467.03961,,23575.9268705
593,93490.5364846,,16443.2775437
594,257340.063445,,106714.669546
595,1547272.69424,,1979132.09653
596,849369.896372,,1542166.90648
597,3049273.73642,,1979366.1625
598,207103.9259,,113518.75339
599,354700.94555,,170264.398533
600,326780.419027,,54379.3785566
601,193572.96142,,43395.1960863
602,281810.178511,,62846.1357904
603,34006.8852121,,19478.3210033
604,151574.552272,,95886.4053458
605,278961.132741,,50505.835749
606,26567.9785129,,70205.5579539
607,3319425.82309,,2873804.87213
608,3219362.67788,,2595689.30903
609,378777.772389,,37698.1336055
610,249703.713401,,646622.537192
611,323880.184646,,25820.9432265
612,323892.184646,,86611.0385477
613,1045622.5228,,1826245.27462
614,949165.867778,,421467.894616
615,259039.584012,,236179.723311
616,618425.328518,,135623.621783
617,699300.550678,,164777.129674
618,16053.4279423,,108873.282027
619,411327.402618,,85609.7913955
620,396303.213859,,949634.419584
621,1189801.09237,,1303493.43335
622,74164.4712457,,707791.054477
623,481235.485043,,1200733.52298
624,274702.932864,,767999.386852
625,329640.857746,,490348.96472
626,59759.6282458,,115500.485118
627,315483.686684,,645340.720483
628,931257.839038,,1384070.43351
629,48674.2387389,,37167.8073121
630,22248.011423,,1388309.33565
631,24109.1643705,,115164.101518
632,58877.4349647,,96715.8458468
633,101792.089053,,728592.28414
634,107516.402839,,21515.2278589
635,198385.464858,,158630.34066
636,97507.0157217,,76432.2981739
637,14514.4163865,,63124.1615201
638,110903.351163,,49843.4277731
639,34360.2850121,,13582.0203542
640,119436.805188,,60184.32295
641,46954.2412542,,46362.4170745
642,46948.2412542,,5342.29315958
643,25832.8309877,,5471.29714001
644,20930.556289,,17753.294599
645,56501.087452,,6892.02725623
646,1648747.68579,,1512111.71422
647,1018411.02586,,148002.082468
648,126363.163421,,598836.798955
649,389520.729757,,194306.658668
650,166397.046442,,147774.117875
651,257256.899822,,39057.5074655
652,908550.748363,,667034.086641
653,38955.69839,,12622.0636217
654,10917.0270334,,894794.847136
655,412943.280063,,240493.746231
656,26681.5959369,,6039.97298336
657,18392.4049016,,12683.4328593
658,15835.4963667,,43736.9983463
659,34555.5081005,,25240.9011028
660,98767.3221374,,70614.502548
661,129382.325465,,71922.7076824
662,9770.76395058,,53318.5666846
663,128670.50544,,37923.9078721
664,211400.470283,,34166.6934955
665,92506.728794,,41168.4529769
666,1001.78395382,,39198.7711946
667,50020.2905696,,77916.62108
668,646383.206824,,525188.290705
669,948515.054841,,915218.070534
670,176754.273201,,23211.7593439
671,28484.7756843,,46547.584038
672,3946.50477297,,68058.3959847
673,172801.768428,,136115.428072
674,436313.814084,,203377.821079
675,195747.822008,,7631.05087518
676,148275.497517,,75774.3507315
677,64491.6816835,,218254.0807
678,17025.3571921,,338369.377131
679,326844.033445,,4634.33325203
680,24743.1455517,,25140.6040683
681,302094.887893,,76204.1613425
682,256820.288178,,375326.673568
683,37592.6229704,,935111.264414
684,273851.64537,,21362.7839876
685,590362.079101,,380734.708348
686,18573.6349513,,2945.430494
687,216858.733694,,64597.7467349
688,272282.453683,,80795.386272
689,222256.163113,,109116.356376
690,3156982.72546,,5681857.75854
691,1101626.66632,,1425962.96486
692,640997.777405,,575385.404243
693,1089592.81201,,441780.871072
694,11590.7785971,,30062.7260671
695,6990201.90146,,4164759.64446
696,5150421.38466,,3015956.7425
697,116446.199338,,14447.9479882
698,1194436.23276,,540265.481803
699,1077996.03342,,484161.116832
700,32088.0771283,,27528.4274606
701,138285.277705,,123217.734894
702,170379.354833,,194539.013812
703,508376.957492,,226128.520798
704,536916.850823,,275036.015571
705,259346.638853,,63388.8667374
706,174964.516643,,106063.025241
707,198925.248164,,192040.636539
708,270662.672974,,217330.676492
709,438637.040174,,226374.801391
710,150588.689709,,107784.916037
711,101860.353192,,35104.5595584
712,342498.871151,,164533.736642
713,1124826.87216,,282151.269133
714,1352825.84994,,396585.647041
715,42669.6951953,,16900.7743972
716,866387.082471,,228573.828247
717,128874.945176,,34637.864704
718,10333519.5589,,133625.936054
719,10345370.264,,92760.3529575
720,1077076.85972,,397728.078769
721,58020.9536848,,40877.1804207
722,126330.103879,,96263.0434657
723,44677.8615974,,45266.9937892
724,1035868.80497,,379572.91677
725,146546.917992,,115788.015883
726,34127.8175773,,41314.3856018
727,44220.2701149,,19225.0600256
728,1420409.92366,,455090.964921
729,10213.8243299,,57673.6446384
730,134373.962503,,32789.50174
731,276124.427467,,50230.8030797
732,286093.984911,,49747.6946477
733,798680.908349,,336566.955649
734,39273.2609665,,25354.9457505
735,163494.372133,,37082.9421887
736,73328.525804,,177617.253489
737,98263.3944804,,71434.2012905
738,104947.36142,,15550.7640751
739,56254.1234668,,16826.095542
740,243647.622158,,202210.929838
741,202761.633099,,52148.4578166
742,64369.4960887,,63361.6256422
743,9975.55744398,,49428.1721515
744,156893.711679,,553510.032282
745,91431.7007881,,36051.6792422
746,281506.511081,,84455.6727815
747,83727.7214728,,299264.144748
748,243765.711344,,146873.416537
749,66578.3832678,,13922.5477609
750,87663.2822127,,48024.1128869
751,75790.366556,,19468.7432808
752,165322.263427,,28304.578289
753,2158633.88335,,135375.0784
754,2730794.21905,,404249.728471
755,1983881.73172,,79452.1685297
756,2025544.92324,,174484.512729
757,16204.4894554,,32304.0096049
758,69547.3773422,,42161.231291
759,87415.8643211,,29593.6428293
760,578666.905892,,242953.94022
761,7550.61862014,,261034.108092
762,53113.7802361,,105814.302345
763,50399.6435449,,422620.017854
764,2901338.30158,,4997084.26299
765,196183.710042,,84292.1532425
766,875592.530297,,622297.877427
767,5067472.63511,,5294164.13399
768,70559.5137633,,47903.2877166
769,43441.699925,,3723.75758153
770,193951.145027,,191438.704906
771,1541988.66223,,598959.221983
772,7082989.74054,,6380937.97516
773,258349.609852,,112964.696475
774,342849.269564,,188241.62401
775,25236.935133,,96342.2294407
776,9739.04046454,,49195.5475069
777,53186.7403896,,2163.08709589
778,697896.797866,,406230.615306
779,819068.671801,,117971.783662
780,1867410.10531,,1002336.32691
781,40579.1007708,,97271.1970506
782,1652550.67188,,868529.266087
783,149964.166374,,157136.739031
784,1512806.32984,,647252.611065
785,165424.032619,,120687.501495
786,687943.388718,,509039.414377
787,370211.960033,,167334.264001
788,6753507.16305,,1607429.69821
789,2540404.22364,,1391889.59299
790,209195.236458,,2204464.84876
791,2563044.07437,,1844487.63034
792,78656.631998,,21408.1174671
793,406518.01509,,252017.787729
794,60076.6370696,,31520.2143002
795,977983.261378,,984615.022734
796,941701.206321,,946901.47358
797,4111.32251311,,1807930.70304
798,18585006.5741,,3269520.68537
799,3134503.32065,,3024151.36051
800,18589111.8966,,1428433.29057
801,7253860.22332,,687284.520642
802,914545.358529,,4114698.84064
803,13627948.8863,,402022.328906
804,2019185.93007,,1689762.78415
805,13981538.3962,,250271.265965
806,246974.396266,,217965.346272
807,13597621.3366,,295511.486617
808,39362963.616,,6416480.9368
809,151817.89399,,756946.083624
810,651475.224942,,1586927.30975
811,74402586.9181,,34799444.0048
812,10906521.5317,,883808.504541
813,11299500.5942,,11322289.0196
814,511248.728784,,56484.5266881
815,112993.011791,,50850.6780552
816,720122.581857,,343409.541201
817,205805.559471,,49938.207415
818,67617.0619836,,61868.1128614
819,678240.865638,,166194.207226
820,1621597.37066,,356756.29574
821,41383.3929057,,37047.165094
822,204649.223453,,34890.4464083
823,108011.640756,,40772.5600373
824,10498.0762231,,11930.2676465
825,208098.605398,,52104.3778284
826,2655868.65241,,1534248.37889
827,31610.5986865,,29690.6561494
828,761755.426738,,536867.404857
829,2538203.0477,,1367608.36836
830,2579473.61035,,1488796.27995
831,151641.71598,,36146.4805551
832,282912.333118,,23810.1872528
833,282924.333118,,80694.2601547
834,162145.792203,,13994.272283
835,370368.41453,,128930.37343
836,25140.9839359,,51434.203813
837,259806.100366,,212046.728357
838,323758.466215,,119339.760718
839,171146.379324,,268390.876328
840,1266473.76119,,926075.042659
841,59268.8716771,,122827.989397
842,1207198.88951,,761479.839237
843,932093.828012,,324367.630443
844,1085750.91927,,461972.350164
845,1023625.4614,,354687.578235
846,241268.987732,,134524.236286
847,463532.511177,,158021.960644
848,397389.253714,,340051.247575
849,404511.036326,,194039.967953
850,605997.817575,,494348.653225
851,1426620.79577,,445251.306716
852,206634.083716,,165086.578429
853,206646.083716,,88549.4509504
854,4760811.52821,,5025995.30803
855,411368.742323,,123228.649104
856,85293.2054571,,78423.0524376
857,153181.627228,,142449.2174
858,96318.4301101,,80426.3651319
859,34297.9762607,,69063.7574022
860,149782.637341,,179015.674689
861,202902.112613,,134675.71106
862,213451.854058,,14201.3440735
863,213439.854058,,90152.5104542
