,seg_index,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
1018,1042,0,1,0,0,0,0,0,0,3,0,4
1019,1043,0,1,0,0,0,0,0,0,1,0,2
1020,1044,0,2,0,0,0,0,0,0,2,0,4
1021,1045,0,1,0,0,0,0,0,0,1,0,2
1022,1046,0,1,0,0,0,0,0,0,4,0,5
1023,1047,0,0,0,0,0,0,0,0,5,1,6
1024,1048,0,1,0,1,0,0,1,0,2,1,6
1025,1049,0,0,0,1,0,0,0,0,0,0,1
1026,1050,0,2,2,0,0,0,0,0,2,0,6
1027,1051,0,2,1,2,0,0,0,0,2,0,7
1028,1052,0,1,0,1,0,1,1,0,2,0,6
1029,1053,0,0,0,0,0,0,1,0,3,0,4
1030,1054,0,1,0,0,0,0,0,0,6,1,8
1031,1055,0,3,0,0,1,0,0,0,17,1,22
1032,1056,0,4,0,0,1,0,0,1,10,2,18
1033,1057,0,5,0,2,4,0,4,3,12,2,32
1034,1058,0,4,0,3,1,0,2,5,7,0,22
1035,1059,0,3,0,7,0,0,0,9,3,2,24
1036,1060,0,3,0,13,2,0,0,8,2,4,32
1037,1061,0,2,3,9,7,1,0,2,5,3,32
1038,1062,0,3,6,14,8,1,0,0,8,5,45
1039,1063,0,1,4,15,4,0,0,0,7,2,33
1040,1064,0,1,14,16,20,0,0,1,6,1,59
1041,1065,0,1,2,17,6,0,3,1,4,3,37
1042,1066,0,1,1,4,2,1,4,0,5,0,18
1043,1067,0,1,1,4,1,0,1,0,4,0,12
1044,1068,1,2,3,5,1,0,2,0,7,5,26
1045,1069,1,1,2,3,2,0,1,0,10,6,26
1046,1070,0,4,2,2,1,1,1,0,6,6,23
1047,1071,1,2,11,2,8,4,0,0,2,3,33
1048,1072,1,2,4,3,3,0,0,0,14,2,29
1049,1073,0,0,2,1,0,0,4,0,4,2,13
1050,1074,0,1,0,2,0,0,1,0,0,0,4
1051,1075,0,1,0,1,0,0,2,0,0,2,6
1052,1076,0,1,0,0,0,1,3,0,0,0,5
1053,1077,0,0,0,0,0,0,4,0,0,0,4
1054,1078,0,2,0,0,0,1,6,0,0,1,10
1055,1079,0,2,0,0,0,1,8,0,1,0,12
1056,1080,0,1,0,1,1,0,0,0,9,0,12
1057,1081,0,5,0,2,1,0,0,0,17,2,27
1058,1082,0,1,0,1,0,0,0,0,14,3,19
1059,1083,0,0,0,3,0,0,4,3,8,1,19
1060,1084,0,2,0,2,2,3,0,9,5,1,24
1061,1085,3,4,0,4,3,2,0,12,5,0,33
1062,1086,0,0,0,0,0,0,0,0,4,0,4
1063,1087,0,0,0,0,0,0,0,0,3,0,3
1064,1088,0,7,0,0,0,0,0,0,12,1,20
1065,1089,1,1,0,2,0,1,0,0,11,1,17
1066,1090,2,1,0,0,0,0,0,0,13,1,17
1067,1091,1,1,0,1,0,0,0,0,5,0,8
1068,1092,0,1,0,3,0,0,0,0,5,2,11
1069,1093,0,3,0,1,0,0,0,0,8,2,14
1070,1094,1,2,1,5,1,0,0,0,13,4,27
1071,1095,0,1,1,11,5,1,0,2,12,6,39
1072,1096,0,0,1,10,3,0,0,1,18,4,37
1073,1097,0,1,1,9,1,0,0,0,16,4,32
1074,1098,0,1,3,14,15,0,0,0,10,6,49
