,category,fs,osm,poi
0,professional service,4678,1010,5665
1,transportation,2106,4698,6740
2,food,6123,659,6651
3,residence,1421,1158,2577
4,retail shop,6514,720,7174
5,nightlife spot,2886,129,2989
6,cycling facilities,59,11067,11124
7,art,1468,49,1516
8,schools&university,1868,486,2353
9,outdoors and recreation,4594,2899,7484
