pattern	cycle_lane	is_shared	cycle_way	side_walk	bikable	description
('highway=primary', 'cycleway:right=lane', 'sidewalk=both', 'lanes=4')	one			both		one way cycle lane, two way sidewalk
('highway=tertiary', 'cycleway:left=shared_lane', 'cycleway:right=lane', 'sidewalk=both', 'lanes=2')	one			both		one way cycle lane, two way sidewalk
('highway=secondary', 'cycleway=opposite_lane', 'bicycle=designated', 'oneway=yes', 'lanes=1')	both					two way cycle lanes
('highway=tertiary', 'bicycle=yes', 'foot=yes', 'oneway=yes', 'lanes=4')					yes	bikable
('highway=service', 'cycleway:left=opposite_lane', 'oneway=yes')	both					two way cycle lanes
('highway=secondary', 'cycleway:right=lane', 'oneway=yes', 'lanes=2')	right					one way cycle lane (right)
('highway=tertiary', 'cycleway:right=lane', 'oneway=yes', 'lanes=1')	right					one way cycle lane (right)
('highway=residential', 'cycleway:right=lane', 'oneway=yes')	right					one way cycle lane (right)
('highway=primary', 'cycleway:right=lane', 'oneway=yes', 'lanes=2')	right					one way cycle lane (right)
('highway=tertiary', 'cycleway:right=lane', 'sidewalk=right', 'oneway=yes', 'lanes=2')	right			right		one way cycle lane (right), one way sidewalk (right)
('highway=tertiary', 'cycleway=lane', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=primary', 'cycleway=lane', 'oneway=yes', 'lanes=3')	one					one way cycle lane (unknown side)
('highway=secondary', 'cycleway=lane', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=primary', 'cycleway=lane', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=residential', 'cycleway=lane', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=secondary', 'cycleway=lane', 'oneway=yes', 'lanes=3')	one					one way cycle lane (unknown side)
('highway=primary_link', 'cycleway=lane', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=residential', 'cycleway=lane', 'oneway=yes')	one					one way cycle lane (unknown side)
('highway=tertiary', 'cycleway=lane', 'oneway=yes', 'lanes=3')	one					one way cycle lane (unknown side)
('highway=unclassified', 'cycleway=lane', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=secondary', 'cycleway=lane', 'bicycle=yes', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=primary', 'cycleway=lane', 'oneway=yes', 'lanes=5')	one					one way cycle lane (unknown side)
('highway=primary', 'cycleway=lane', 'bicycle=yes', 'oneway=yes', 'lanes=1')	one					one way cycle lane (unknown side)
('highway=tertiary', 'cycleway=lane', 'sidewalk=both', 'oneway=yes', 'lanes=1')	one			both		one way cycle lane (unknown side), two way sidewalk
('highway=tertiary', 'cycleway=lane', 'bicycle=yes', 'sidewalk=both', 'oneway=yes', 'lanes=1')	one			both		one way cycle lane (unknown side), two way sidewalk
('highway=secondary', 'cycleway=lane', 'sidewalk=both', 'oneway=yes')	one			both		one way cycle lane (unknown side), two way sidewalk
('highway=tertiary', 'cycleway=lane', 'sidewalk=right', 'oneway=yes', 'lanes=1')	one			right		one way cycle lane (unknown side), one way sidewalk (right)
('highway=primary', 'cycleway=lane', 'oneway=yes', 'lanes=2')	one					one way cycle lane (unknown side)
('highway=tertiary', 'cycleway=lane', 'oneway=yes', 'lanes=2')	one					one way cycle lane (unknown side)
('highway=secondary', 'cycleway=lane', 'oneway=yes', 'lanes=2')	one					one way cycle lane (unknown side)
('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'oneway=yes', 'lanes=2')	one					one way cycle lane (unknown side)
('highway=tertiary', 'cycleway=lane', 'sidewalk=both', 'oneway=yes', 'lanes=2')	one			both		one way cycle lane (unknown side), two way sidewalk
