pattern	cycle_lane	is_shared	cycle_way	side_walk	bikable	description
('highway=residential', 'foot=yes', 'sidewalk=both')				both		two way sidewalk
('highway=construction', 'sidewalk=both')				both		two way sidewalk
('highway=tertiary', 'foot=designated', 'lanes=2')					yes	footable
('highway=unclassified', 'sidewalk=both', 'oneway=yes')				both		two way sidewalk
('highway=tertiary', 'bicycle=yes', 'sidewalk=both', 'lanes=4')				both	yes	bikable tertiary,two way sidewalk
('highway=tertiary', 'sidewalk=right; both', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=tertiary', 'sidewalk=separate', 'oneway=yes', 'lanes=3')				both		two way sidewalk
('highway=tertiary', 'sidewalk=yes', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=tertiary_link', 'sidewalk=both', 'oneway=yes')				both		two way sidewalk
('highway=residential', 'sidewalk=both', 'oneway=no', 'lanes=1')				both		two way sidewalk
('highway=residential', 'bicycle=yes', 'sidewalk=yes')				both	yes	bikable residential,two way sidewalk
('highway=residential', 'bicycle=yes', 'sidewalk=both')				both	yes	bikable residential,two way sidewalk
('highway=residential', 'bicycle=permissive', 'foot=yes', 'sidewalk=both', 'oneway=yes')				both	yes	bikable residential,two way sidewalk
('highway=secondary', 'foot=designated', 'sidewalk=both', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=secondary', 'foot=designated', 'sidewalk=both', 'oneway=yes', 'lanes=3')				both		two way sidewalk
('highway=residential', 'cycleway=no', 'foot=yes', 'sidewalk=both', 'oneway=no')				both		two way sidewalk
('highway=residential', 'sidewalk=both', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=residential', 'foot=yes', 'sidewalk=both', 'oneway=no')				both		two way sidewalk
('highway=residential', 'sidewalk=yes', 'lanes=2')				both		two way sidewalk
('highway=residential', 'sidewalk=yes', 'oneway=yes')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'lanes=5')				both		two way sidewalk
('highway=service', 'sidewalk=yes', 'oneway=yes')				both		two way sidewalk
('highway=primary', 'bicycle=yes', 'sidewalk=both', 'lanes=4')				both	yes	bikable primary,two way sidewalk
('highway=tertiary', 'bicycle=designated', 'sidewalk=both', 'oneway=no', 'lanes=2')				both	yes	bikable tertiary,two way sidewalk
('highway=tertiary', 'bicycle=destination', 'sidewalk=both', 'lanes=2')				both	yes	bikable tertiary,two way sidewalk
('highway=tertiary', 'bicycle=destination', 'sidewalk=both', 'oneway=no', 'lanes=3')				both	yes	bikable tertiary,two way sidewalk
('highway=service', 'foot=designated', 'sidewalk=both', 'lanes=3')				both		two way sidewalk
('highway=primary_link', 'sidewalk=both', 'oneway=yes', 'lanes=3')				both		two way sidewalk
('highway=primary', 'sidewalk=right;left', 'oneway=no', 'lanes=4')				both		two way sidewalk
('highway=secondary_link', 'sidewalk=both', 'oneway=yes')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'oneway=yes')				both		two way sidewalk
('highway=tertiary', 'bicycle=designated', 'sidewalk=both', 'lanes=2')				both	yes	bikable tertiary,two way sidewalk
('highway=tertiary', 'cycleway=shared_lane', 'sidewalk=both', 'lanes=4')	both	1		both		two way shared lanes, two way sidewalk
('highway=residential', 'cycleway:left=opposite_lane', 'cycleway:right=shared_lane', 'sidewalk=both', 'oneway=yes')	both	1		both		shared_lane_right, cycle lane left ,two way sidewalk
('highway=residential', 'sidewalk=left')				left		sidewalk_left
('highway=residential', 'sidewalk=left', 'lanes=2')				left		sidewalk_left
('highway=service', 'sidewalk=left')				left		sidewalk_left
('highway=tertiary', 'sidewalk=left', 'oneway=yes', 'lanes=1')				left		sidewalk_left
('highway=tertiary', 'foot=designated', 'oneway=yes', 'lanes=2')					yes	footable
('highway=residential', 'sidewalk=left', 'oneway=yes')				left		sidewalk_left
('highway=unclassified', 'sidewalk=left')				left		sidewalk_left
('highway=tertiary', 'sidewalk=left', 'lanes=2')				left		sidewalk_left
('highway=service', 'foot=designated', 'sidewalk=left', 'lanes=3')				left		sidewalk_left
('highway=secondary', 'sidewalk=left', 'oneway=yes', 'lanes=1')				left		sidewalk_left
('highway=primary', 'sidewalk=left', 'lanes=4')				left		sidewalk_left
('highway=secondary', 'foot=designated', 'sidewalk=left', 'oneway=yes', 'lanes=2')				left		sidewalk_left
('highway=residential', 'sidewalk=left', 'lanes=3')				left		sidewalk_left
('highway=primary_link', 'sidewalk=left', 'oneway=yes')				left		sidewalk_left
('highway=secondary', 'sidewalk=left', 'lanes=2')				left		sidewalk_left
('highway=secondary', 'sidewalk=left', 'oneway=yes', 'lanes=2')				left		sidewalk_left
('highway=primary', 'sidewalk=left', 'oneway=yes', 'lanes=4')				left		sidewalk_left
('highway=residential', 'sidewalk=no')				no		no sidewalk
('highway=residential', 'sidewalk=no', 'lanes=2')				no		no sidewalk
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=5')				no	no	not bikable, no sidewalk
('highway=residential', 'sidewalk=no', 'oneway=yes')				no		no sidewalk
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes')				no	no	not bikable, no sidewalk
('highway=residential', 'sidewalk=no', 'oneway=yes', 'lanes=1')				no		no sidewalk
('highway=primary', 'sidewalk=none', 'oneway=yes', 'lanes=2')				no		no sidewalk
('highway=unclassified', 'sidewalk=no', 'oneway=yes')				no		no sidewalk
('highway=tertiary', 'sidewalk=none', 'lanes=2')				no		no sidewalk
('highway=tertiary', 'sidewalk=no', 'lanes=2')				no		no sidewalk
('highway=trunk', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=2')				no		no sidewalk
('highway=tertiary', 'sidewalk=no', 'oneway=yes', 'lanes=3')				no		no sidewalk
('highway=motorway_link', 'sidewalk=no', 'oneway=yes', 'lanes=2')				no		no sidewalk
('highway=motorway_link', 'sidewalk=no', 'oneway=yes', 'lanes=1')				no		no sidewalk
('highway=residential', 'sidewalk=right')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=3')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=4')				right		sidewalk_right
('highway=tertiary', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=trunk', 'sidewalk=right', 'oneway=yes', 'lanes=3')				right		sidewalk_right
('highway=tertiary', 'sidewalk=right', 'lanes=2')				right		sidewalk_right
('highway=residential', 'sidewalk=right', 'lanes=2')				right		sidewalk_right
('highway=secondary', 'sidewalk=right', 'oneway=yes', 'lanes=3')				right		sidewalk_right
('highway=residential', 'sidewalk=right', 'oneway=yes')				right		sidewalk_right
('highway=secondary', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right		sidewalk_right
('highway=service', 'sidewalk=right')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=secondary', 'sidewalk=right', 'lanes=2')				right		sidewalk_right
('highway=motorway', 'bicycle=yes', 'foot=yes', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right	yes	bikable motorway,sidewalk_right
('highway=unclassified', 'sidewalk=right', 'oneway=yes')				right		sidewalk_right
('highway=trunk_link', 'foot=no', 'sidewalk=right', 'oneway=yes')				right		sidewalk_right
('highway=trunk_link', 'foot=no', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=secondary', 'foot=designated', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right		sidewalk_right
('highway=unclassified', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'lanes=4')				right		sidewalk_right
('highway=motorway_link', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'lanes=3')				right		sidewalk_right
('highway=tertiary', 'bicycle=yes', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right	yes	bikable tertiary, sidewalk_right
('highway=motorway', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right		sidewalk_right
('highway=motorway', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=trunk_link', 'sidewalk=right', 'oneway=yes')				right		sidewalk_right
('highway=trunk', 'foot=designated', 'sidewalk=right', 'oneway=yes', 'lanes=4')				right		sidewalk_right
('highway=trunk', 'foot=no', 'sidewalk=right', 'oneway=yes', 'lanes=3')				right		sidewalk_right
('highway=trunk', 'foot=yes', 'oneway=yes', 'lanes=3')				right		sidewalk_right
('highway=trunk', 'foot=yes', 'sidewalk=right', 'oneway=yes', 'lanes=3')				right		sidewalk_right
('highway=trunk', 'sidewalk=right', 'oneway=yes', 'lanes=4')				right		sidewalk_right
('highway=trunk_link', 'foot=no', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right		sidewalk_right
('highway=trunk_link', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=tertiary', 'sidewalk=right', 'lanes=4')				right		sidewalk_right
('highway=tertiary', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right		sidewalk_right
('highway=secondary', 'foot=designated', 'sidewalk=right', 'oneway=yes', 'lanes=3')				right		sidewalk_right
('highway=primary_link', 'sidewalk=right', 'oneway=yes', 'lanes=2')				right		sidewalk_right
('highway=residential', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=primary_link', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=primary_link', 'sidewalk=right', 'oneway=yes')				right		sidewalk_right
('highway=service', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'oneway=yes')				right		sidewalk_right
('highway=secondary', 'sidewalk=right', 'lanes=3')				right		sidewalk_right
('highway=secondary', 'sidewalk=right', 'oneway=yes', 'lanes=1')				right		sidewalk_right
('highway=primary', 'sidewalk=right', 'lanes=2')				right		sidewalk_right
('highway=steps', 'foot=yes')					yes	footable
('highway=cycleway', 'oneway=yes')			one			one way cycleway
('highway=cycleway', 'bicycle=yes', 'oneway=yes')			one			one way cycleway
('highway=cycleway', 'bicycle=yes', 'foot=no', 'oneway=yes')			one			one way cycleway
('highway=cycleway', 'cycleway=track', 'foot=yes')			one			one way cycleway
('highway=primary', 'cycleway=track', 'bicycle=yes', 'lanes=5')			both			two way cycleway
('highway=cycleway', 'cycleway=track')			one			one way cycleway
('highway=cycleway', 'cycleway=track', 'bicycle=designated', 'foot=yes')			one			one way cycleway
('highway=residential', 'cycleway=track', 'lanes=2')			both			two way cycleway
('highway=residential', 'cycleway=track', 'bicycle=designated', 'lanes=2')			both			two way cycleway
('highway=footway', 'cycleway=track', 'foot=yes')			both			two way cycleway
('highway=cycleway', 'foot=yes', 'oneway=no')			both			two way cycleway
('highway=cycleway', 'bicycle=yes', 'foot=yes', 'oneway=no')			both			two way cycleway
('highway=cycleway', 'oneway=no')			both			two way cycleway
('highway=secondary', 'cycleway:right=track', 'sidewalk=both', 'oneway=yes', 'lanes=4')			right	both		one way cycleway right, two way sidewalk
('highway=secondary', 'cycleway:right=track', 'sidewalk=both', 'oneway=yes', 'lanes=5')			right	both		one way cycleway right, two way sidewalk
('highway=track',)					no	no
('highway=track', 'bicycle=yes', 'foot=yes')					yes	bikable track
('highway=trunk', 'foot=no', 'oneway=yes', 'lanes=2')					no	not footable
