0,1,2
"('highway=residential', 'sidewalk=right', 'oneway=yes')",sidewalk,8
"('highway=cycleway', 'bicycle=yes')",,8
"('highway=secondary', 'cycleway=lane', 'lanes=2')","L1b_2,L1a_1",8
"('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=4')",sidewalk,7
"('highway=tertiary', 'bicycle=designated', 'lanes=2')",,7
"('highway=footway', 'cycleway=track', 'foot=yes')","T1_3,foot",7
"('highway=primary', 'sidewalk=both', 'oneway=no', 'lanes=6')",sidewalk,7
"('highway=residential', 'sidewalk=no', 'oneway=yes')",sidewalk,7
"('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes')",sidewalk,7
"('highway=secondary', 'sidewalk=right', 'oneway=yes', 'lanes=2')",sidewalk,6
"('highway=service', 'foot=yes')",,6
"('highway=service', 'bicycle=yes', 'foot=yes', 'oneway=no')",,6
"('highway=primary', 'sidewalk=both', 'lanes=2')",sidewalk,6
"('highway=residential', 'sidewalk=no', 'oneway=yes', 'lanes=1')",sidewalk,6
"('highway=primary', 'cycleway=lane', 'oneway=yes', 'lanes=1')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",6
"('highway=primary', 'sidewalk=none', 'oneway=yes', 'lanes=2')",sidewalk,6
"('highway=service', 'sidewalk=right')",sidewalk,6
"('highway=unclassified', 'sidewalk=no', 'oneway=yes')",sidewalk,6
"('highway=trunk', 'foot=no', 'oneway=yes', 'lanes=2')",,6
"('highway=motorway', 'bicycle=yes', 'foot=yes', 'oneway=yes', 'lanes=2')",,6
"('highway=tertiary', 'sidewalk=none', 'lanes=2')",sidewalk,6
"('highway=cycleway', 'bicycle=designated', 'foot=yes')",,6
"('highway=footway', 'bicycle=dismount', 'foot=yes')",foot,6
"('highway=tertiary', 'sidewalk=no', 'lanes=2')",sidewalk,5
"('highway=secondary', 'sidewalk=both', 'oneway=yes', 'lanes=5')",sidewalk,5
"('highway=cycleway', 'bicycle=yes', 'foot=permissive')",,5
"('highway=service', 'sidewalk=left')",sidewalk,5
"('highway=tertiary', 'sidewalk=both')",sidewalk,5
"('highway=tertiary', 'cycleway=shared_lane', 'sidewalk=both', 'lanes=2')",sidewalk,5
"('highway=secondary', 'sidewalk=both', 'lanes=8')",sidewalk,5
"('highway=residential', 'bicycle=yes')",,5
"('highway=primary', 'sidewalk=both', 'lanes=5')",sidewalk,5
"('highway=trunk', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=2')",sidewalk,5
"('highway=tertiary', 'bicycle=yes', 'sidewalk=both', 'oneway=yes', 'lanes=2')",sidewalk,5
"('highway=tertiary', 'cycleway:right=lane', 'oneway=yes', 'lanes=1')","M4_1,L2,M2a_1",5
"('highway=residential', 'sidewalk=both', 'oneway=no')",sidewalk,5
"('highway=secondary', 'bicycle=yes', 'foot=yes', 'oneway=yes')",,4
"('highway=primary', 'sidewalk=both', 'lanes=3')",sidewalk,4
"('highway=residential', 'cycleway=lane', 'oneway=yes', 'lanes=1')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",4
"('highway=service', 'bicycle=yes', 'oneway=yes')",,4
"('highway=tertiary', 'sidewalk=no', 'oneway=yes', 'lanes=3')",sidewalk,4
"('highway=footway', 'bicycle=yes', 'foot=designated')",foot,4
"('highway=residential', 'bicycle=yes', 'sidewalk=both', 'oneway=yes')",sidewalk,4
"('highway=footway', 'foot=permissive')",foot,4
"('highway=tertiary', 'cycleway=lane', 'lanes=4')","L1b_2,L1a_1",4
"('highway=secondary', 'sidewalk=both', 'lanes=3')",sidewalk,4
"('highway=motorway_link', 'sidewalk=no', 'oneway=yes', 'lanes=2')",sidewalk,4
"('highway=motorway_link', 'sidewalk=no', 'oneway=yes', 'lanes=1')",sidewalk,4
"('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'lanes=2')","L1b_2,L1a_1",4
"('highway=tertiary', 'cycleway=lane', 'oneway=no', 'lanes=2')","L1b_2,L1a_1",4
"('highway=cycleway', 'bicycle=designated')",,4
